,from,to
0,deixar,brasil
1,substância,mistura
2,substância,matéria
3,substância,química
4,substância,leite
5,substância,composição química
6,substância,água
7,gado,cavalo
8,sombrite,população
9,sombrite,brasil
10,filha,mãe
11,leiteiro,manteiga
12,leiteiro,ovo
13,leiteiro,gado
14,leiteiro,queijo
15,leiteiro,leite
16,agricultura,árvore
17,agricultura,cultura
18,agricultura,adubação
19,agricultura,irrigação
20,agricultura,sorgo
21,agricultura,genética
22,agricultura,resíduo
23,agricultura,ambiente
24,agricultura,eficiência
25,agricultura,medicamento
26,agricultura,energia
27,agricultura,microrganismo
28,agricultura,técnica
29,agricultura,cerca
30,agricultura,semente
31,agricultura,alimento
32,agricultura,fertilidade
33,agricultura,produtividade
34,agricultura,solo
35,agricultura,água
36,agricultura,milho
37,agricultura,fazenda
38,agricultura,nitrogênio
39,agricultura,produção
40,agricultura,fibra
41,agricultura,madeira
42,agricultura,indústria
43,agricultura,transporte
44,heterose,cavalo
45,heterose,genoma
46,heterose,melhoramento genético
47,heterose,clonagem
48,heterose,vaca
49,heterose,agricultura
50,heterose,folha
51,heterose,animai
52,heterose,fêmea
53,heterose,gene
54,heterose,semente
55,heterose,espécie
56,heterose,planta
57,heterose,elefante
58,heterose,genética
59,jovens,cultura
60,jovens,brasil
61,jovens,sexo
62,jovens,agricultura
63,ocorrem,ovo
64,ocorrem,brasil
65,andropogon,espécie
66,secas,temperatura
67,secas,irrigação
68,secas,ambiente
69,secas,semente
70,selênio,magnésio
71,selênio,fósforo
72,selênio,água
73,selênio,alumínio
74,selênio,cálcio
75,selênio,composto orgânico
76,selênio,mineral
77,selênio,sódio
78,selênio,sólido
79,selênio,vida
80,selênio,cobalto
81,mamários,cavalo
82,mamários,glândula
83,mamários,proteína
84,mamários,microrganismo
85,mamários,ovo
86,mamários,bactéria
87,mamários,hormônio
88,mamários,leite
89,mamários,espécie
90,imunoglobulina,cavalo
91,imunoglobulina,genoma
92,imunoglobulina,clonagem
93,imunoglobulina,inflamação
94,imunoglobulina,organismo
95,imunoglobulina,proteína
96,imunoglobulina,ph
97,imunoglobulina,bactéria
98,imunoglobulina,infecção
99,imunoglobulina,parasitismo
100,imunoglobulina,gene
101,imunoglobulina,ureia
102,imunoglobulina,sangue
103,concentrada,frequência
104,concentrada,padrão
105,concentrada,energia
106,concentrada,adição
107,inclinação,declive
108,nutritivo,alimentação
109,nutritivo,vitamina
110,nutritivo,energia
111,nutritivo,proteína
112,nutritivo,brasil
113,nutritivo,gordura
114,nutritivo,ração
115,vermis,equilíbrio
116,chuvas,árvore
117,chuvas,volume
118,chuvas,óleo
119,chuvas,agricultura
120,chuvas,cultura
121,chuvas,brasil
122,chuvas,água
123,chuvas,bactéria
124,chuvas,seca
125,chuvas,superfície
126,chuvas,inverno
127,chuvas,sólido
128,chuvas,líquido
129,chuvas,planta
130,chuvas,solo
131,brizantha,gramínea
132,brizantha,bactéria
133,mantença,população
134,mantença,brasil
135,mantença,gado
136,mantença,madeira
137,mantença,inverno
138,mantença,sal
139,desenvolvam,mestiço
140,desenvolvam,brasil
141,mão,vagina
142,líquido,temperatura
143,líquido,volume
144,líquido,partícula
145,líquido,matéria
146,líquido,sólido
147,líquido,água
148,gêmeo,gestação
149,gêmeo,genoma
150,gêmeo,placenta
151,sal,alimentação
152,sal,fosfato
153,sal,magnésio
154,sal,ph
155,sal,alumínio
156,sal,cálcio
157,sal,composto orgânico
158,sal,mistura
159,sal,sólido
160,sal,água
161,parto,árvore
162,parto,acidez
163,parto,médico
164,parto,cultura
165,parto,lactação
166,parto,brasil
167,parto,dor
168,parto,infecção
169,parto,útero
170,parto,placenta
171,parto,vagina
172,parto,hormônio
173,parto,cérvix
174,parto,inseminação artificial
175,corporal,dano
176,corporal,aborto
177,corporal,dor
178,corporal,útero
179,corporal,enfermidade
180,corporal,parto
181,maneira,árvore
182,maneira,orgânico
183,maneira,papel
184,maneira,energia
185,maneira,célula
186,maneira,inseto
187,maneira,água
188,maneira,nutriente
189,maneira,polpa
190,maneira,fibra
191,maneira,espécie
192,maneira,planta
193,maneira,solo
194,maneira,semente
195,cmt,dna
196,cmt,genética
197,espera,brasil
198,processo,manutenção
199,processo,insumo
200,processo,controle
201,processo,planejamento
202,bovino,pasto
203,bovino,carne
204,bovino,chifre
205,bovino,animal
206,bovino,leite
207,bovino,zebu
208,infecção,inflamação
209,infecção,organismo
210,infecção,brasil
211,infecção,microrganismo
212,infecção,bactéria
213,infecção,antibiótico
214,infecção,doença
215,atendendo,população
216,atendendo,açúcar
217,atendendo,energia
218,atendendo,agricultura
219,atendendo,média
220,atendendo,carne
221,atendendo,cultura
222,atendendo,contagem
223,atendendo,brasil
224,atendendo,mestiço
225,atendendo,serviço
226,atendendo,madeira
227,atendendo,paí
228,atendendo,clima temperado
229,atendendo,região
230,atendendo,cerrado
231,aproveitamento,arquitetura
232,importantes,umidade relativa
233,importantes,população
234,importantes,banco
235,importantes,europeu
236,importantes,açúcar
237,importantes,área
238,importantes,sal
239,importantes,contagem
240,importantes,brasil
241,importantes,retirada
242,importantes,indústria
243,importantes,inverno
244,importantes,transporte
245,importantes,arquitetura
246,feita,banco
247,sólido,volume
248,sólido,forma
249,sólido,partícula
250,sólido,matéria
251,sólido,líquido
252,sólido,água
253,mercado,eficiência
254,mercado,mercado
255,mercado,agricultura
256,mercado,cultura
257,mercado,produção
258,mercado,indústria
259,mercado,transporte
260,cavalos,agricultura
261,cavalos,brasil
262,cavalos,animal
263,cavalos,raça
264,cavalos,genética
265,cavalos,inverno
266,cavalos,transporte
267,cavalos,espécie
268,kg,kg
269,kg,peso
270,início,inverno
271,início,brasil
272,currais,curral
273,currais,população
274,currais,agricultura
275,currais,touro
276,currais,brasil
277,currais,bovino
278,currais,milho
279,currais,arquitetura
280,bons,cultura
281,papel,árvore
282,papel,qualidade
283,papel,fibra
284,papel,madeira
285,papel,suporte
286,papel,folha
287,comportamento,glândula
288,comportamento,cultura
289,comportamento,inseto
290,comportamento,animai
291,comportamento,clínica
292,comportamento,gene
293,comportamento,reação
294,comportamento,espécie
295,comportamento,ambiente
296,touro,brasil
297,vaca,cavalo
298,vaca,bovino
299,vaca,espécie
300,vaca,inseminação artificial
301,vaca,melhoramento genético
302,vaca,macho
303,vaca,carne
304,vaca,animal
305,vaca,bezerro
306,vaca,gir
307,vaca,útero
308,vaca,fêmea
309,vaca,leite
310,vaca,radiação solar
311,vaca,guzerá
312,vaca,reprodução
313,vaca,espermatozoide
314,vaca,sêman
315,vaca,brasil
316,vaca,chifre
317,vaca,calor
318,vaca,produtividade
319,vaca,elefante
320,vaca,rúman
321,vaca,zebu
322,eficiente,energia
323,eficiente,agricultura
324,eficiente,cultura
325,eficiente,transporte
326,eficiente,produção
327,eficiente,indústria
328,eficiente,calor
329,confinada,brasil
330,produzida,brasil
331,produzida,açúcar
332,produzida,água
333,vacas,cavalo
334,vacas,bovino
335,vacas,espécie
336,vacas,inseminação artificial
337,vacas,melhoramento genético
338,vacas,macho
339,vacas,carne
340,vacas,animal
341,vacas,bezerro
342,vacas,gir
343,vacas,útero
344,vacas,fêmea
345,vacas,leite
346,vacas,radiação solar
347,vacas,guzerá
348,vacas,reprodução
349,vacas,espermatozoide
350,vacas,sêman
351,vacas,brasil
352,vacas,chifre
353,vacas,calor
354,vacas,produtividade
355,vacas,elefante
356,vacas,rúman
357,vacas,zebu
358,evitar,tanzânia
359,evitar,espécie
360,evitar,brasil
361,agentes,química
362,agentes,vida
363,perder,brasil
364,hormônio,reprodução
365,hormônio,organismo
366,hormônio,célula
367,hormônio,hormônio
368,hormônio,sangue
369,hormônio,ovário
370,hormônio,placenta
371,contaminem,área
372,parir,literatura
373,parir,área
374,parir,brasil
375,parir,calcário
376,parir,indústria
377,produçõe,eficiência
378,produçõe,agricultura
379,produçõe,cultura
380,produçõe,necessidade
381,produçõe,custo
382,produçõe,produto
383,produçõe,processo
384,produçõe,indústria
385,produçõe,serviço
386,produçõe,transporte
387,produçõe,produtividade
388,utilizá,consumo
389,utilizá,máquina
390,utilizá,agricultura
391,utilizá,química
392,utilizá,indústria
393,utilizá,arquitetura
394,etéreo,brasil
395,ha,área
396,cana,forrageira
397,cana,europeu
398,cana,açúcar
399,cana,fósforo
400,cana,brasil
401,cana,espécie
402,cana,inflorescência
403,cana,sorgo
404,cana,gramínea
405,cana,milho
406,cana,leguminosa
407,cana,clima temperado
408,cana,adubo
409,cana,cultivar
410,parasita,alimentação
411,parasita,reprodução
412,parasita,organismo
413,parasita,ovo
414,parasita,bactéria
415,parasita,infecção
416,parasita,parasitismo
417,parasita,doença
418,parasita,espécie
419,finalidade,espécie
420,finalidade,padrão
421,finalidade,sistema
422,lotação,cavalo
423,lotação,brasil
424,lotação,transporte
425,lotação,paí
426,lotação,taxon
427,lotação,vida
428,lotação,água
429,sangue,inseto
430,sangue,nutriente
431,sangue,antibiótico
432,sangue,doença
433,sangue,hormônio
434,sangue,vida
435,genoma,organismo
436,genoma,célula
437,genoma,bactéria
438,genoma,dna
439,genoma,gene
440,genoma,genética
441,genoma,espécie
442,pasto,agricultura
443,pasto,irrigação
444,pasto,milho
445,pasto,fazenda
446,pasto,ração
447,incorporado,literatura
448,incorporado,brasil
449,econômica,consumo
450,econômica,banco
451,econômica,dado
452,econômica,mercado
453,econômica,agricultura
454,econômica,cultura
455,econômica,longo prazo
456,econômica,custo
457,econômica,produção
458,econômica,declive
459,econômica,paí
460,vivo,brasil
461,vivo,piquete
462,contagem,população
463,contagem,brasil
464,purpureum,pennisetum
465,purpureum,espécie
466,purpureum,brasil
467,seco,brasil
468,canaleta,árvore
469,canaleta,alimentação
470,canaleta,arbusto
471,canaleta,corpo
472,canaleta,inverno
473,canaleta,intestino delgado
474,canaleta,paí
475,canaleta,espécie
476,canaleta,planta
477,canaleta,folha
478,canaleta,superfície
479,canaleta,vida
480,canaleta,europeu
481,canaleta,macho
482,canaleta,carne
483,canaleta,mãe
484,canaleta,descanso
485,canaleta,animal
486,canaleta,fêmea
487,canaleta,lavoura
488,canaleta,alimento
489,canaleta,brasil
490,canaleta,capim
491,canaleta,comportamento
492,canaleta,pastagem
493,canaleta,fertilidade
494,canaleta,peso
495,canaleta,solo
496,canaleta,mão
497,canaleta,idade
498,canaleta,agricultura
499,canaleta,gestação
500,canaleta,doença
501,canaleta,madeira
502,canaleta,nascimento
503,ensilagem,alimentação
504,ensilagem,alfafa
505,ensilagem,sorgo
506,ensilagem,gramínea
507,ensilagem,intoxicação
508,ensilagem,forragem
