,Network,DecayRate,PreciseHits,Pct Hits,Window,HitsInWindow,PctHitsInWindow
0,Divided In Topics,0.1,51,0.102,N/A,N/A,N/A
1,Divided In Topics,0.15,93,0.186,N/A,N/A,N/A
2,Divided In Topics,0.2,135,0.27,N/A,N/A,N/A
