,Network,DecayRate,PreciseHits,Pct Hits,Window,HitsInWindow,PctHitsInWindow
0,MergedR,0.05,32,0.064,20,251,0.502
0,FullyMergedN,0.05,34,0.068,20,251,0.502
0,FullyMergedR,0.05,34,0.068,20,243,0.486
0,FullyMergedNR,0.05,55,0.11,20,281,0.562
0,FullyMerged,0.05,39,0.078,20,263,0.526
0,Wikipedia,0.05,50,0.1,20,254,0.508
0,MergedNR,0.05,55,0.11,20,278,0.556
0,MilkoN,0.05,16,0.032,20,151,0.302
0,WikipediaN,0.05,37,0.074,20,259,0.518
0,MilkoNR,0.05,20,0.04,20,154,0.308
0,MergedN,0.05,32,0.064,20,256,0.512
0,WikipediaNR,0.05,39,0.078,20,272,0.544
0,WikipediaR,0.05,37,0.074,20,251,0.502
0,Milko,0.05,13,0.026,20,138,0.276
0,MilkoR,0.05,16,0.032,20,146,0.292
0,Merged,0.05,47,0.094,20,256,0.512
