,source,target
297,fermentação,freezer
298,fermentação,serragem
299,fermentação,mucoso
300,prenhe,fase
301,prenhe,adocicar
302,prenhe,indesejável
303,prenhe,pico
304,prenhe,concentração
305,prenhe,maternidade
306,prenhe,imunoglobulina
307,prenhe,detergente
308,prenhe,suplemento
309,prenhe,microbiano
310,gordura,gestação
311,gordura,demorar
312,gordura,gestante
313,gordura,desmamar
314,gordura,peletizado
315,gordura,magro
316,gordura,gordo
317,gordura,subnutrição
318,gordura,cristalino
319,gordura,energético
320,vermifugação,calor
321,vermifugação,calórico
322,vermifugação,gargalo
323,vermifugação,campilobacteriose
324,vermifugação,cobrir
325,vermifugação,interferir
326,vermifugação,oferecer
327,vermifugação,sintetizar
328,vermifugação,ultrassonografia
329,vermifugação,insumo
330,bezerreiro,farinha
331,bezerreiro,geada
332,bezerreiro,funcionar
333,bezerreiro,músculo
334,bezerreiro,enzima
335,bezerreiro,aminoácido
336,bezerreiro,instalação
337,bezerreiro,iodar
338,bezerreiro,abdômen
339,bezerreiro,vento
340,tóxico,caule
341,tóxico,infestação
342,tóxico,queimada
343,tóxico,intoxicação
344,tóxico,ressecamento
345,tóxico,forragear
346,tóxico,hospedeiro
347,tóxico,químico
348,tóxico,ciclo
349,tóxico,copa
350,encharcamento,via
351,encharcamento,recurso
352,encharcamento,ventilação
353,encharcamento,auxiliar
354,encharcamento,nebulização
355,encharcamento,lento
356,encharcamento,teteira
357,encharcamento,sobreordenha
358,encharcamento,morcego
359,encharcamento,laboratório
360,estreptococo,parasita
361,estreptococo,vidro
362,estreptococo,diluição
363,estreptococo,concreto
364,estreptococo,vento
365,estreptococo,albumina
366,estreptococo,inflamatório
367,estreptococo,parte
368,estreptococo,tuberculose
369,estreptococo,larva
370,sanguíneo,inflamatório
371,sanguíneo,desânimo
372,sanguíneo,concreto
373,sanguíneo,máximo
374,sanguíneo,cor
375,sanguíneo,prostrar
376,sanguíneo,vidro
377,sanguíneo,biossólido
378,sanguíneo,estreptococo
379,sanguíneo,parasita
380,pequeno,sol
381,pequeno,adulto
382,pequeno,sucedâneo
383,pequeno,lesão
384,pequeno,fabricante
385,pequeno,diluir
386,pequeno,confinar
387,pequeno,terapia
388,pequeno,abrigo
389,pequeno,oxigênio
390,equino,helminto
391,equino,doença
392,equino,morte
393,equino,baixo
394,equino,ginecológico
395,equino,sintoma
396,equino,gás
397,equino,combate
398,equino,grão
399,equino,fervente
400,risco,tomar
401,risco,tecido
402,risco,partícula
403,risco,enzima
404,risco,instalação
405,risco,entrar
406,risco,iodofórmio
407,risco,iodar
408,risco,diarreia
409,risco,médico
410,tecer,banho
411,tecer,fungo
412,tecer,regra
413,tecer,ferimento
414,tecer,fator
415,tecer,principal
416,tecer,cama
417,tecer,sintoma
418,tecer,caixa
419,tecer,pasteurização
420,tolerante,vegetativo
421,tolerante,florescimento
422,tolerante,raiz
423,tolerante,floração
424,tolerante,adubar
425,tolerante,terreno
426,tolerante,semear
427,tolerante,estolonífera
428,tolerante,inseto
429,tolerante,humidicola
430,vetor,carrapato
431,vetor,protozoário
432,vetor,nutritivo
433,vetor,lateral
434,vetor,inundação
435,vetor,combate
436,vetor,pasto
437,vetor,cerca
438,vetor,agente
439,vetor,cisteína
440,pedra,paternidade
441,pedra,metabolismo
442,pedra,secretar
443,pedra,olho
444,pedra,músculo
445,pedra,quente
446,pedra,abdômen
447,pedra,bovina
448,pedra,enxofre
449,pedra,profissional
450,andrológico,cirurgia
451,andrológico,fluido
452,andrológico,inflamação
453,andrológico,umbilical
454,andrológico,bolsa
455,andrológico,maneira
456,andrológico,pilha
457,andrológico,bebedouro
458,andrológico,exame
459,andrológico,fertirrigação
460,sabor,fígado
461,sabor,dose
462,sabor,desinfetar
463,sabor,humano
464,sabor,afetar
465,sabor,funcionar
466,sabor,material
467,sabor,tomar
468,sabor,aproveitar
469,sabor,contaminação
470,samambaia,vegetal
471,samambaia,hectare
472,samambaia,drenar
473,samambaia,superpastejo
474,samambaia,panicum
475,samambaia,verão
476,samambaia,luminosidade
477,samambaia,reflexo
478,samambaia,chuva
479,samambaia,plantar
480,aproveitar,tuberculose
481,aproveitar,bebedouro
482,aproveitar,concreto
483,aproveitar,cor
484,aproveitar,portador
485,aproveitar,criopreservação
486,aproveitar,substância
487,aproveitar,estábulo
488,aproveitar,parte
489,aproveitar,pilha
490,mililitro,raspar
491,mililitro,embrionário
492,mililitro,bulbo
493,mililitro,glândula
494,mililitro,célula
495,mililitro,coloração
496,mililitro,tanchagem
497,mililitro,lugar
498,mililitro,rancificação
499,mililitro,aeração
500,orgânico,inimigo
501,orgânico,guandu
502,orgânico,árvore
503,orgânico,arborização
504,orgânico,fenação
505,orgânico,lei
506,orgânico,eficiente
507,orgânico,coccidiose
508,orgânico,macio
509,orgânico,biológico
510,aeróbia,espermatozoide
511,aeróbia,técnico
512,aeróbia,embrião
513,aeróbia,procurar
514,aeróbia,vitro
515,aeróbia,sexo
516,aeróbia,muco
517,aeróbia,perfil
518,aeróbia,aeróbio
519,aeróbia,fluxo
520,estéril,modo
521,estéril,ferramenta
522,estéril,grande
523,estéril,fita
524,estéril,procedimento
525,estéril,pesar
526,estéril,ver
527,estéril,transgênico
528,estéril,reciclável
529,estéril,nuclear
530,dieta,concentrar
531,dieta,vitamina
532,dieta,concentrado
533,dieta,alimento
534,dieta,proteína
535,dieta,balancear
536,dieta,ração
537,dieta,mineral
538,dieta,volumoso
539,dieta,água
540,estressar,dosagem
541,estressar,manipulação
542,estressar,alta
543,estressar,face
544,estressar,sintetizar
545,estressar,respiratório
546,estressar,acetonemia
547,estressar,verme
548,estressar,útil
549,estressar,ovário
550,fotossensibilização,veranico
551,fotossensibilização,florescer
552,fotossensibilização,nutritivo
553,fotossensibilização,drenar
554,fotossensibilização,inundação
555,fotossensibilização,caule
556,fotossensibilização,vegetal
557,fotossensibilização,hectare
558,fotossensibilização,verão
