,0,1,2,3,4
fasebalança,fase,balança,54.0,2,2
gestaçãogrande,gestação,grande,1.0,13,8
gestaçãofeto,gestação,feto,1.7529296875,16,12
gestaçãovaca,gestação,vaca,2.372833251953125,77,20
gestaçãogestante,gestação,gestante,4.5693359375,21,14
gestaçãolactação,gestação,lactação,9.140625,21,10
gestaçãoseca,gestação,seca,2.5,9,6
gestaçãoprever,gestação,prever,5.0,7,4
gestaçãoparto,gestação,parto,4.1318359375,35,14
gestaçãoglândular,gestação,glândular,17.3125,15,8
gestaçãomamário,gestação,mamário,18.3125,15,8
gestaçãosobrevivência,gestação,sobrevivência,10.0,7,4
gestaçãonutricional,gestação,nutricional,8.25,9,6
gestaçãomineral,gestação,mineral,16.75,9,6
gestaçãovitamina,gestação,vitamina,14.0,7,4
gestaçãoteor,gestação,teor,15.0,7,4
gestaçãoproteína,gestação,proteína,11.5,9,6
gestaçãodieta,gestação,dieta,9.5,11,8
gestaçãovolumoso,gestação,volumoso,11.25,12,6
gestaçãoconcentrar,gestação,concentrar,11.0,11,8
gestaçãobasar,gestação,basar,15.0,7,4
gestaçãoseco,gestação,seco,19.90625,16,10
gestaçãogordo,gestação,gordo,2.0,10,4
gestaçãorisco,gestação,risco,11.0,7,4
gestaçãopasto,gestação,pasto,9.5,9,6
gestaçãopiquete,gestação,piquete,7.0,7,4
gestaçãomaternidade,gestação,maternidade,6.0,7,4
gestaçãolimpo,gestação,limpo,5.5,9,6
gestaçãoinstalação,gestação,instalação,3.0,7,4
gestaçãoprincipal,gestação,principal,3.5,9,6
gestaçãoperder,gestação,perder,3.0,9,6
gestaçãobom,gestação,bom,4.56640625,23,16
gestaçãocorporal,gestação,corporal,12.34375,24,12
gestaçãomagro,gestação,magro,2.0,9,6
gestaçãoterço,gestação,terço,1.0,9,6
gestaçãosuplementar,gestação,suplementar,2.0,11,8
gestaçãobalança,gestação,balança,4.0,11,8
grandefeto,grande,feto,4.0,5,4
grandevaca,grande,vaca,4.21627049893075,188,84
grandegestante,grande,gestante,3.25,4,4
grandelactação,grande,lactação,2.401839256286621,42,22
grandeseca,grande,seca,23.507080078125,14,14
grandeprever,grande,prever,7.0,2,2
grandeparto,grande,parto,6.0745086669921875,22,18
grandeglândular,grande,glândular,10.5,4,4
grandemamário,grande,mamário,39.4638671875,16,12
grandesobrevivência,grande,sobrevivência,12.0,2,2
grandenutricional,grande,nutricional,25.15625,8,8
grandemineral,grande,mineral,5.8125,6,6
grandevitamina,grande,vitamina,13.0,4,4
grandeteor,grande,teor,5.7583770751953125,24,20
